Vessel,Port,Agent,Date,Carrier
KOTA HASIL V. HSA001                     ,    PHMNL     ,    ALTSHPT         ,    2014-05-13  ,    EAGLE LINER SHIPPING AGENCIES P/L  
CARDONIA V.1404N                         ,    CNSHA     ,    KMTSIPR         ,    2014-05-16  ,    KOREA MARINE TRANSPORT CO. LTD     
WAN HAI 315 V.105                        ,    JPTYO     ,    JNCLIS          ,    2014-05-12  ,    INTERASIA LINE                   
WAN HAI 316 V. N097                      ,    TWTXG     ,    PACCOFO         ,    2014-05-16  ,    INTERASIA LINE                     
NORTHERN GENIUS V.0003E                  ,    JPNGO     ,    HANSHS          ,    2014-05-16  ,    HANJIN SHIPPING CO LTD             
APL MINNESOTA V.036E                     ,    USSPQ     ,    APLCOPT         ,    2014-05-15  ,    APL CO. PTE LTD                    
APL MINNESOTA V.036E                     ,    JPHKT     ,    APLCOPT         ,    2014-05-15  ,    APL CO. PTE LTD                    
APL CYPRINE V.192E                       ,    USNYC     ,    MOLSIPT         ,    2014-05-16  ,    MOL (SINGAPORE) PTE LTD            
NYK ARCADIA V.016E                       ,    USNYC     ,    MOLSIPT         ,    2014-05-13  ,    MOL (SINGAPORE) PTE LTD            
APL MINNESOTA V.036E                     ,    USLAX     ,    MOLSIPT         ,    2014-05-15  ,    MOL (SINGAPORE) PTE LTD            
MOL EMPIRE V.89185                       ,    HKHKG     ,    MOLSIPT         ,    2014-05-12  ,    MOL (SINGAPORE) PTE LTD            
APL MINNESOTA V. 036E                    ,    USLAX     ,    MOLSIPT         ,    2014-05-15  ,    MOL (SINGAPORE) PTE LTD            
OOCL LUXEMBOURG V.025E                   ,    CAVAN     ,    MOLSIPT         ,    2014-05-13  ,    MOL (SINGAPORE) PTE LTD            
MOL EMERALD V.121                        ,    AUMEB     ,    PENSHPT         ,    2014-05-13  ,    MOL (SINGAPORE) PTE LTD            
NYK ARCADIA V.016E                       ,    USNYC     ,    MOLSIPT         ,    2014-05-13  ,    MOL (SINGAPORE) PTE LTD            
MOL PARADISE V.058E                      ,    USJAX     ,    MOLSIPT         ,    2014-05-16  ,    MOL (SINGAPORE) PTE LTD            
MOL EMPIRE V.89185                       ,    JPYOK     ,    NTLNATR         ,    2014-05-12  ,    MOL (SINGAPORE) PTE LTD            
MOL EMPIRE V.89185                       ,    JPNGO     ,    NTLNATR         ,    2014-05-12  ,    MOL (SINGAPORE) PTE LTD            
MOL EMPIRE V.89185                       ,    JPTYO     ,    NTLNATR         ,    2014-05-12  ,    MOL (SINGAPORE) PTE LTD            
